date,time,hour,ac,month,day
2023-01-01,00:00:00,0,0.25,1,6
2023-01-01,01:00:00,1,0.12,1,6
2023-01-01,02:00:00,2,0.43,1,6
2023-01-01,03:00:00,3,0.27,1,6
2023-01-01,04:00:00,4,0.28,1,6
2023-01-01,05:00:00,5,0.34,1,6
2023-01-01,06:00:00,6,0.22,1,6
2023-01-01,07:00:00,7,0.11,1,6
2023-01-01,08:00:00,8,0.32,1,6
2023-01-01,09:00:00,9,0.34,1,6
2023-01-01,10:00:00,10,0.26,1,6
2023-01-01,11:00:00,11,0.16,1,6
2023-01-01,12:00:00,12,0.1,1,6
2023-01-01,13:00:00,13,0.24,1,6
2023-01-01,14:00:00,14,0.22,1,6
2023-01-01,15:00:00,15,0.15,1,6
2023-01-01,16:00:00,16,0.31,1,6
2023-01-01,17:00:00,17,0.23,1,6
2023-01-01,18:00:00,18,0.19,1,6
2023-01-01,19:00:00,19,0.35,1,6
2023-01-01,20:00:00,20,0.42,1,6
2023-01-01,21:00:00,21,0.43,1,6
2023-01-01,22:00:00,22,0.15,1,6
2023-01-01,23:00:00,23,0.25,1,6
2023-01-02,00:00:00,0,0.21,1,0
2023-01-02,01:00:00,1,0.46,1,0
2023-01-02,02:00:00,2,0.37,1,0
2023-01-02,03:00:00,3,0.35,1,0
2023-01-02,04:00:00,4,0.12,1,0
2023-01-02,05:00:00,5,0.36,1,0
2023-01-02,06:00:00,6,0.24,1,0
2023-01-02,07:00:00,7,0.43,1,0
2023-01-02,08:00:00,8,0.46,1,0
2023-01-02,09:00:00,9,0.45,1,0
2023-01-02,10:00:00,10,0.34,1,0
2023-01-02,11:00:00,11,0.32,1,0
2023-01-02,12:00:00,12,0.23,1,0
2023-01-02,13:00:00,13,0.14,1,0
2023-01-02,14:00:00,14,0.46,1,0
2023-01-02,15:00:00,15,0.18,1,0
2023-01-02,16:00:00,16,0.48,1,0
2023-01-02,17:00:00,17,0.27,1,0
2023-01-02,18:00:00,18,0.44,1,0
2023-01-02,19:00:00,19,0.33,1,0
2023-01-02,20:00:00,20,0.45,1,0
2023-01-02,21:00:00,21,0.42,1,0
2023-01-02,22:00:00,22,0.42,1,0
2023-01-02,23:00:00,23,0.25,1,0
2023-01-03,00:00:00,0,0.21,1,1
2023-01-03,01:00:00,1,0.15,1,1
2023-01-03,02:00:00,2,0.12,1,1
2023-01-03,03:00:00,3,0.31,1,1
2023-01-03,04:00:00,4,0.11,1,1
2023-01-03,05:00:00,5,0.16,1,1
2023-01-03,06:00:00,6,0.48,1,1
2023-01-03,07:00:00,7,0.24,1,1
2023-01-03,08:00:00,8,0.44,1,1
2023-01-03,09:00:00,9,0.17,1,1
2023-01-03,10:00:00,10,0.25,1,1
2023-01-03,11:00:00,11,0.13,1,1
2023-01-03,12:00:00,12,0.26,1,1
2023-01-03,13:00:00,13,0.48,1,1
2023-01-03,14:00:00,14,0.14,1,1
